"UID","PropertyName","Lon","Lat","AgencyID","Name","Value","Address","Violations2010","REACNumber","Borough","CD","CityCouncilDistrict","CensusTract","BuildingCount","UnitCount","YearBuilt","Owner","Rental.Coop","OwnerProfitStatus","AffordabilityRestrictions","StartAffordabilityRestrictions"
101039,"DAYTON TOWERS",-73.80564165,40.58731174,"BBL 4-16129-0001;BBL 4-16175-0001;HPD Property C4015","DAYTON TOWERS",25011000,"104-00 SHORE FRONT PARKWAY;8000 SHORE FRONT PARKWAY",0,NA,"Queens","QN14: Rockaway/Broad Channel",32,"Queens 942.03",8,1758,1968,"DAYTON TOWERS INC","Coop","","Affordable",1967
101049,"DELOS HOUSE",-73.92194324,40.84995228,"BBL 2-02880-0115;HPD Property C2031","DELOS HOUSE;UNDERCLIFF HOUSE",1391600,"1655 UNDERCLIFF AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",16,"Bronx 205",1,125,1967,"STELLAR UNDERCLIFF LL","Rental","","Not Affordable",1967
101053,"DITMAS ARMS",-73.95766268,40.639515,"BBL 3-05207-0001","DITMAS ARMS",984000,"585 EAST 21 STREET",8,NA,"Brooklyn","BK14: Flatbush/Midwood",40,"Brooklyn 516",1,66,1931,"DITMAS PARK LLC","Rental","","Not Affordable",1986
101064,"E 29 STREET APTS",-73.98057399,40.74296581,"BBL 1-00885-0042","E 29 STREET APTS",25263000,"153 EAST 29 STREET",0,NA,"Manhattan","MN06: Stuyvesant Town/Turtle Bay",2,"Manhattan 72",1,279,1981,"H & P 29TH ST ASSOC","Rental","","Not Affordable",1982
101066,"EAST 31ST STREET",-73.98011161,40.74447534,"BBL 1-00887-0030","EAST 31ST STREET",76586000,"134 EAST 32 STREET",0,NA,"Manhattan","MN06: Stuyvesant Town/Turtle Bay",2,"Manhattan 72",1,709,1988,"MHP LAND ASSOCIATES","Rental","","Not Affordable",1989
101068,"EAST MIDTOWN PLAZA",-73.97951822,40.73776158,"BBL 1-00929-0001;BBL 1-00930-0012;HPD Property C1021","311 East 23rd Street;319 East 24th Street;320 East 25th Street;333 East 23rd Street;400 2nd Avenue;401 1st Avenue;EAST MIDTOWN PLAZA",148752000,"310 EAST 25 STREET;311 EAST 23 STREET;315 EAST 24 STREET;331 EAST 23 STREET;399 1 AVENUE;400 2 AVENUE",2,NA,"Manhattan","MN06: Stuyvesant Town/Turtle Bay",2,"Manhattan 64",6,748,1970,"EAST MIDTOWN PLAZA","Coop","","Affordable",1971
101088,"ESPLANADE GARDENS",-73.93635866,40.82300263,"BBL 1-01744-0001;BBL 1-02016-0050;HPD Property C1025","101 West 147th Street;129 West 147th Street;2541 Seventh Avenue;2569 Seventh Avenue;700 Lenox Avenue;720 Lenox Avenue;ESPLANADE GARDENS",94203000,"101 WEST 147 STREET;129 WEST 147 STREET;2541 ADAM C POWELL BOULEVARD;2569 ADAM C POWELL BOULEVARD;700 ESPLANADE GDNS PLAZA;720 ESPLANADE GDNS PLAZA",2,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 236",6,1872,1966,"ESPLANADE GARDENS INC","Coop","","Affordable",1967
101089,"ESSEX TERRACE",-73.87853418,40.66476277,"BBL 3-04338-0001;HPD Property C3027;HUD Property 800015104","2305 Linden Boulevard;ESSEX TERRACE",15436400,"2299 LINDEN BOULEVARD;750 ESSEX STREET;754 ESSEX STREET;758 ESSEX STREET;762 ESSEX STREET;766 ESSEX STREET;827 LINWOOD STREET;831 LINWOOD STREET;835 LINWOOD STREET;839 LINWOOD STREET;843 LINWOOD STREET;910 HEGEMAN AVENUE;914 HEGEMAN AVENUE;918 HEGEMAN AVENUE",0,NA,"Brooklyn","BK05: East New York/Starrett City",42,"Brooklyn 1114",14,105,1969,"ESSEX TERRACE INC.","Rental","","Affordable",1970
101092,"FABRIA INC",-73.97926205,40.72605793,"BBL 1-00389-0024;BBL 1-00392-0053;BBL 1-00438-0013;BBL 1-00438-0021;BBL 1-00438-0022;HPD Application 2007-013","212 East 7th Street;410 East 11th Street;426 East 11th Street;428 East 11th Street;617-621 East 9th Street;Fabria Houses;FABRIA INC",3525840,"212 EAST 7 STREET;410 EAST 11 STREET;617 EAST 9 STREET",0,NA,"Manhattan","MN03: Lower East Side/Chinatown",2,"Manhattan 28",5,39,2008,"THE NEW YORK CITY HSG","Rental","For Profit","Affordable",1970
101099,"FLATBUSH TERRACE I",-73.92750386,40.62978067,"BBL 3-07776-0026","FLATBUSH TERRACE I",2845800,"1258 EAST 51 STREET",2,NA,"Brooklyn","BK18: Flatlands/Canarsie",46,"Brooklyn 728",1,152,1966,"KINGS VILLAGE CORP","Rental","","Not Affordable",1967
101100,"FLATBUSH TERRACE II",-73.92655633,40.62981026,"BBL 3-07777-0026","FLATBUSH TERRACE II",2502900,"1257 EAST 51 STREET",1,NA,"Brooklyn","BK18: Flatlands/Canarsie",46,"Brooklyn 728",1,155,1965,"KILLIKELLY CLAUDETT","Rental","","Not Affordable",1967
101101,"FLATBUSH TERRACE III",-73.92459647,40.62982546,"BBL 3-07779-0022","FLATBUSH TERRACE III",2508300,"1191 EAST 53 STREET",0,NA,"Brooklyn","BK18: Flatlands/Canarsie",46,"Brooklyn 728",1,155,1966,"KINGS VILLAGE CORP.","Rental","","Not Affordable",1968
101102,"FLATBUSH TERRACE IV",-73.92559816,40.62968613,"BBL 3-07778-0024","FLATBUSH TERRACE IV",2508300,"1190 EAST 53 STREET",3,NA,"Brooklyn","BK18: Flatlands/Canarsie",46,"Brooklyn 728",1,154,1966,"KINGS VILLAGE CORP","Rental","","Not Affordable",1968
101103,"FLATBUSH TERRACE V",-73.92364933,40.62950918,"BBL 3-07780-0008","FLATBUSH TERRACE V",2508300,"1149 EAST 54 STREET",1,NA,"Brooklyn","BK18: Flatlands/Canarsie",46,"Brooklyn 728",1,155,1966,"KINGS VILLAGE CORP.","Rental","","Not Affordable",1968
101113,"FOREST PARK CRESCENT",-73.85499686,40.70605527,"BBL 4-03880-0097;HPD Property C4017","FOREST PARK CRESCENT",4530600,"90-50 UNION TURNPIKE",0,NA,"Queens","QN06: Rego Park/Forest Hills",30,"Queens 639",1,240,1965,"FOREST VIEW CRESCENT,","Coop","","Not Affordable",1964
101140,"GODDARD TWR",-73.97054482,40.79284375,"BBL 1-01225-0001;HPD Property C1033","711 Amsterdam Avenue;GODDARD RIVERSIDE;GODDARD TWR",8577000,"701 AMSTERDAM AVENUE",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 181",1,194,1967,"GR HOUSING CORP","Coop","","Affordable",1967
101142,"GOODWILL TERRACE",-73.93240789,40.77481129,"BBL 4-00909-0001;HPD Property C4019;HUD Property 800015185","4-21 27th Street;GOODWILL TERRACE",3898800,"1-Apr 27 AVENUE",0,NA,"Queens","QN01: Astoria",22,"Queens 87",1,208,1969,"GOODWILL INDUSTRIES H","Rental","","Affordable",1970
101143,"GOUVERNEUR GARDENS",-73.98438473,40.71270002,"BBL 1-00243-0056;BBL 1-00244-0019;BBL 1-00259-0001;BBL 1-00259-0071;BBL 1-00267-0001;HPD Property C1035","17-33 MONTGOMERY STREET;25 Montgomery Street;35 Montgomery Street;605 Water Street;645 Water Street;675 Water Street;75 Montgomery Street;GOUVERNEUR GARDENS",36980100,"299 MADISON STREET;35 MONTGOMERY STREET;605 WATER STREET;629 WATER STREET;675 WATER STREET;73 MONTGOMERY STREET",0,NA,"Manhattan","MN03: Lower East Side/Chinatown",1,"Manhattan 2.02",6,782,1962,"GOUVENEUR GARDENS HSG","Coop","","Affordable",1967
101162,"HARBOUR VIEW APTS",-74.08631032,40.64774396,"BBL 5-00003-0015","HARBOUR VIEW APTS",3161700,"388 RICHMOND TERRACE",1,NA,"Staten Island","SI01: St. George/Stapleton",49,"Staten Island 7",1,122,1986,"388 RICHMOND TERRACE","Rental","","Not Affordable",1988
101177,"HEYWOOD BROUN TOWER",-73.97251047,40.79039319,"BBL 1-01221-0001;HPD Property C1041;HUD Property 800015254","HEYWOOD BROUN TOWER;HEYWOOD BROUN TOWERS;HEYWOOD TOWERS",10224000,"147 WEST 90 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",1,188,1974,"HAYWOOD TOWERS ASSCOC","Rental","","Affordable",1975
101179,"HIGH GATE",-73.95033771,40.78437207,"BBL 1-01523-0034","HIGH GATE",18691000,"1680 3 AVENUE",0,NA,"Manhattan","MN08: Upper East Side",4,"Manhattan 158.01",1,280,1980,"P & S 95TH STREET ASS","Rental","","Not Affordable",1981
101189,"HINSDALE STREET REHAB",-73.89973018,40.6663038,"BBL 3-03783-0001;SHARS 19901549;SHARS 19940218","H.E.L.P. HOUSE;HINSDALE STREET REHAB",2495700,"326 HINSDALE STREET",23,NA,"Brooklyn","BK05: East New York/Starrett City",42,"Brooklyn 1134",1,183,1991,"DUMONT ASSOC LIMITED","Rental","","Affordable",1974
101206,"HOMEWOOD GARDENS",-73.9363022,40.59134235,"BBL 3-07449-0001;HPD Property C3037","2525 BATCHELDER ST;2533 BATCHELDER ST;3020 AVENUE Y;HOMEWOOD GARDENS;KINGS BAY 2",18792000,"2525 BATCHELDER STREET;2533 BATCHELDER STREET;2998 AVENUE Y",6,NA,"Brooklyn","BK15: Sheepshead Bay",48,"Brooklyn 626",4,356,1960,"KINGS BAY HOUSES SECT","Coop","","Affordable",1962
101210,"HOWARD TERRACE",-73.85288954,40.72774167,"BBL 4-02118-7501","HOWARD TERRACE",NA,"99-32 66 ROAD",0,NA,"Queens","QN06: Rego Park/Forest Hills",29,"Queens 713.01",1,100,1952,"","Rental","","Not Affordable",1985
101218,"INWOOD TERRACE",-73.98001412,40.75669491,"BBL 1-01262-0024","INWOOD TERRACE",3536100,"21 WEST 46 STREET",0,NA,"Manhattan","MN05: Midtown",3,"Manhattan 96",1,175,1929,"21 WEST 46TH STREET","Rental","","Not Affordable",1972
101225,"JANEL TOWERS",-73.86417688,40.85083193,"BBL 2-04290-0008;HPD Property C2047;HUD Property 800015309","JANEL TOWERS",3253134,"801 NEILL AVENUE",0,NA,"Bronx","BX11: Morris Park/Bronxdale",13,"Bronx 228",1,230,1952,"JANEL TOWERS LLC","Rental","","Affordable",1971
101226,"JEFFERSON TOWERS",-73.96864195,40.79203904,"BBL 1-01225-0029;HPD Property C1049","700 Columbus Avenue;JEFFERSON TOWERS",14580000,"700 COLUMBUS AVENUE",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 181",1,190,1968,"JEFFERSON TOWERS CORP","Coop","","Affordable",1968
101227,"JENNIFER TOWERS",-73.97245611,40.74719655,"BBL 1-00944-0010","JENNIFER TOWERS",39699000,"324 EAST 39 STREET",0,NA,"Manhattan","MN06: Stuyvesant Town/Turtle Bay",4,"Manhattan 78",1,509,1980,"JENNIFER TOWERS APART","Rental","","Not Affordable",1981
101229,"JONAS BRONCK APARTMENTS",-73.90332001,40.8505969,"BBL 2-02811-0003;HFA 1539;HUD Property 800015326;OHO H148","JONAS BRONCK APARTMENTS;JONAS BRONCK APT;JONAS BRONCK APTS",2306700,"230 EAST 179 STREET",0,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 235.02",1,215,1972,"JONAS BRONCK HOUSING","Rental","","Affordable",1974
101237,"KELLY TOWERS",-73.88206766,40.85378569,"BBL 2-03115-0005;HUD Property 800015346","2405 Southern Boulevard;KELLY TOWERS",1735200,"2401 SOUTHERN BOULEVARD",0,NA,"Bronx","BX06: Belmont/East Tremont",15,"Bronx 393",1,302,1970,"EDUCATIONAL CONSTRUCT","Rental","","Affordable",1977
101241,"KINGS COUNTY SENIOR RESIDENCE",-73.94101694,40.65884463,"BBL 3-04812-0001","KINGS COUNTY SENIOR RESIDENCE",60604200,"600 ALBANY AVENUE",0,NA,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",40,"Brooklyn 812",1,173,1991,"HEALTH AND HOSPITALS","Rental","","Affordable",2007
101243,"KINGSBRIDGE APARTMENTS",-73.90510928,40.87083777,"BBL 2-03240-0044;HUD Property 800015352","170 W. Kingsbridge Road;200 W. Kingsbridge Road;KINGSBRIDGE APARTMENTS",1113300,"170 WEST KINGSBRIDGE ROAD",4,NA,"Bronx","BX07: Kingsbridge Heights/Bedford",14,"Bronx 269",1,91,1973,"170 KINGSBRIDGE PISTI","Rental","","Affordable",1977
101267,"LEADER HOUSE",-73.96963565,40.79081242,"BBL 1-01223-7503;HPD Property C1055;HUD Property 800015381","LEADER HOUSE",NA,"100 WEST 93 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",1,280,1973,"THE 100 WEST 93 CONDO","Rental","","Affordable",1972
101268,"L'ECOLE",-73.97165236,40.75319087,"BBL 1-01320-7506","L'ECOLE",NA,"207 EAST 46 STREET",0,NA,"Manhattan","MN06: Stuyvesant Town/Turtle Bay",4,"Manhattan 90",1,261,1979,"L'ECOLE CONDO/211 E 4","Rental","","Not Affordable",1980
101277,"LEWIS MORRIS APTS",-73.91079752,40.84604398,"BBL 2-02822-0019","LEWIS MORRIS APTS",4997700,"1749 GD CONCOURSE",114,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 227.01",1,271,1924,"1749 GRAND CONCOURSE","Rental","","Not Affordable",1985
101282,"LINCOLN PLAZA SOUTH",NA,NA,"BBL 1-01115-7503","LINCOLN PLAZA SOUTH",NA,"22 WEST 63 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"",1,609,1979,"30 LINCOLN PLAZA COND","Rental","","Not Affordable",1980
101310,"LOGAN PLAZA APTS",-73.95387275,40.8158555,"BBL 1-01970-0002","LOGAN PLAZA APTS;LOGAN PLAZA APTS.",4037300,"1423 AMSTERDAM AVENUE",0,NA,"Manhattan","MN09: Morningside Heights/Hamilton",7,"Manhattan 217.01",1,130,1988,"NYC PARTNERSHIP HOUSI","Rental","","Not Affordable",1989
101328,"MARGARET I",-73.99953088,40.74045875,"BBL 1-00766-0029","MARGARET I",632610,"221 WEST 16 STREET",0,NA,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 81",1,17,1915,"221 WEST 16TH REALTY,","Rental","","Not Affordable",1967
101329,"MARGARET II",-73.99961027,40.74049168,"BBL 1-00766-0028","MARGARET II",310580,"223 WEST 16 STREET",1,NA,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 81",1,15,1915,"223 WEST 16TH LLC","Rental","","Not Affordable",1968
101338,"MCALPIN HOUSE",-73.98748722,40.74920831,"BBL 1-00835-0001","MCALPIN HOUSE",56890000,"46 WEST 34 STREET",0,NA,"Manhattan","MN05: Midtown",3,"Manhattan 76",1,694,1912,"HERALD TOWERS","Rental","","Not Affordable",1981
101359,"MONTEFIORE HOSP HSG 2",-73.8773707,40.88000908,"BBL 2-03343-0245;HPD Property C2071","3450 Wayne Avenue;MONTEFIORE 2;MONTEFIORE HOSP HSG 2",10179000,"3414 WAYNE AVENUE",0,NA,"Bronx","BX07: Kingsbridge Heights/Bedford",11,"Bronx 421",1,399,1970,"MONTEFIORE HOSPITAL H","Rental","","Affordable",1972
101365,"MOTT HAVEN II",-73.91518055,40.80729471,"BBL 2-02552-0122","MOTT HAVEN II;MOTT HAVEN III",22399,"606 EAST 140 STREET",0,NA,"Bronx","BX01: Mott Haven/Melrose",17,"Bronx 27.02",1,59,2000,"GARCIA, JOSE","Rental","","Not Affordable",1970
101368,"MOTT HAVEN V",-73.91464668,40.8067097,"BBL 2-02552-0151","MOTT HAVEN V",23245,"623 EAST 139 STREET",0,NA,"Bronx","BX01: Mott Haven/Melrose",17,"Bronx 27.02",1,26,1998,"DALTON, JOYCE","Rental","","Not Affordable",1975
101378,"NEW AMSTERDAM HOUSE",-73.97024115,40.79352711,"BBL 1-01226-0001;HPD Property C1063;HUD Property 800015561","NEW AMSTERDAM;NEW AMSTERDAM HOUSE",4717700,"721 AMSTERDAM AVENUE",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 181",1,229,1971,"AXTON OWNER LLC","Rental","","Not Affordable",1971
101388,"NOBLE MANSION APTS",-73.87102406,40.83722605,"BBL 2-03895-0001;HPD Property C2075","NOBLE MANSION;NOBLE MANSION APTS",2573200,"1500 NOBLE AVENUE",0,NA,"Bronx","BX09: Parkchester/Soundview",18,"Bronx 218",1,237,1965,"NOBLE MANSION OWNER L","Rental","","Not Affordable",1966
101423,"PARK ROCHESTER APTS",-73.92885921,40.66625139,"BBL 3-01409-0044","PARK ROCHESTER APTS",570600,"1711 CARROLL STREET",1,NA,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",41,"Brooklyn 349",1,43,1925,"1717 CARROLL REALTY L","Rental","","Not Affordable",1984
101445,"PARWEST APTS",-73.96101156,40.79723248,"BBL 1-01840-0033","PARWEST APTS",1016700,"446 CENTRAL PARK WEST",0,NA,"Manhattan","MN07: Upper West Side",8,"Manhattan 189",1,34,1920,"446 CPW OWNERS CORP","Rental","","Affordable",1974
101456,"PLYMOUTH PLAZA",-73.94667149,40.7811591,"BBL 1-01555-0023","PLYMOUTH PLAZA",20553000,"336 EAST 93 STREET",0,NA,"Manhattan","MN08: Upper East Side",4,"Manhattan 154",1,366,1980,"340 EAST 93RD STREET","Rental","","Not Affordable",1981
101461,"PROSPECT TOWERS",-73.98777257,40.6693112,"BBL 3-01010-0026;HPD Property C3055","PROSPECT TOWERS",2562300,"303 TENTH STREET",1,NA,"Brooklyn","BK06: Park Slope/Carroll Gardens",39,"Brooklyn 139",1,154,1968,"STELLAR 341 LLC","Rental","","Not Affordable",1967
101468,"QUEENSWOOD APARTMENTS",-73.85912821,40.73943938,"BBL 4-01937-0001;HPD Application 1989-013","54-09 100th Street;54-39 100th Street;QUEENSWOOD APARTMENTS;QUEENSWOOD APTS;Queenswood MAC",13806000,"100-01 57 AVENUE;54-01 100 STREET",0,NA,"Queens","QN04: Elmhurst/Corona",25,"Queens 443",2,296,1989,"FOREST CITY MASTER AS","Rental","For Profit","Affordable",1990
101470,"RACKFELL APARTMENTS",-73.94759863,40.6354129,"BBL 3-05005-0026","RACKFELL APARTMENTS",1012500,"2047 NOSTRAND AVENUE",4,NA,"Brooklyn","BK17: East Flatbush",45,"Brooklyn 786",1,143,1931,"NOSTRAND III EQUITIES","Rental","","Not Affordable",2001
101476,"REMBRANDT-CEZANNE APTS",-74.00531534,40.73821891,"BBL 1-00626-0021","REMBRANDT-CEZANNE APTS",275744,"57 JANE STREET",0,NA,"Manhattan","MN02: Greenwich Village/Soho",3,"Manhattan 77",1,388,1920,"BANDE REAL ESTATE COR","Rental","","Not Affordable",1983
101478,"REVIVE 103 NORTH APTS",-73.94686287,40.79021131,"BBL 1-01631-0025;SHARS 19901220;SHARS 20050782","155-161 East 103rd St;REVIVE 103 NORTH APTS;REVIVE 103 NORTH ASSOCIATES INC",2356200,"155 EAST 103 STREET",1,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 166",1,30,1910,"REVIVE 103 HOPE HDFC","Rental","","Affordable",1989
101483,"RIVERBEND",-73.93528992,40.81480358,"BBL 1-01763-0001;BBL 1-01764-0001;HPD Property C1079","2289 Fifth Avenue;2301 Fifth Avenue;2311 Fifth Avenue;2333 Fifth Avenue;RIVERBEND",37692000,"2279 5 AVENUE;2301 5 AVENUE;2311 5 AVENUE;2333 5 AVENUE",0,NA,"Manhattan","MN11: East Harlem",9,"Manhattan 210",4,626,1970,"RIVERBEND HOUSING CO","Coop","","Affordable",1968
101489,"RNA HOUSE",-73.96936003,40.79332102,"BBL 1-01226-0045;HPD Property C1071","150-160 West 96th Street;R.N.A. HOUSE;RNA HOUSE",6204600,"128 WEST 96 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 181",1,208,1967,"RNA HOUSE INC","Coop","","Affordable",1967
101490,"ROBERT FULTON TERRACE",-73.90475638,40.83196704,"BBL 2-02610-0012;HPD Property C2079","ROBERT FULTON TERRACE",3661200,"530 EAST 169 STREET",6,NA,"Bronx","BX03: Morrisania/Crotona",16,"Bronx 145",2,321,1965,"530 EAST 169 ST OWNER","Rental","","Not Affordable",1967
101491,"ROBERT M GOLDER HOUSE",-73.97755246,40.77803752,"BBL 1-01126-0006","ROBERT M GOLDER HOUSE",368010,"55 WEST 73 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 157",1,8,1910,"55 WEST 73RD STREET,","Rental","","Not Affordable",1968
101492,"ROBIN HOUSING",-73.91617097,40.83544796,"BBL 2-02457-0017;BBL 2-02463-0046;SHARS 19900456","ROBIN HOUSING",1120950,"1197 GRAND CONCOURSE;1250 GRAND CONCOURSE",13,NA,"Bronx","BX04: Highbridge/Concourse",16,"Bronx 179",2,101,1922,"1250 GC LLC","Rental","","Not Affordable",1988
101495,"ROCKLAND APTS II",-74.15963945,40.59310186,"BBL 5-02363-7501","ROCKLAND APTS II",NA,"23 GADSEN PLACE",0,NA,"Staten Island","SI02: South Beach/Willowbrook",51,"Staten Island 277.03",1,86,1974,"9-31 GADSEN PLACE CON","Rental","","Not Affordable",1974
101498,"ROSALIE MANNING",-73.95187961,40.77938556,"BBL 1-01533-0032;HPD Property C1081","216-230 East 88th Street;ROSALIE MANNING",5568500,"216 EAST 88 STREET",0,NA,"Manhattan","MN08: Upper East Side",5,"Manhattan 146.02",1,109,1967,"230 E 88 ST CORP","Coop","","Affordable",1967
101499,"SACK WERN HOUSES",-73.86333902,40.82056504,"BBL 2-03598-0017","SACK WERN HOUSES",1371600,"1800 LAFAYETTE AVENUE",0,NA,"Bronx","BX09: Parkchester/Soundview",18,"Bronx 38",1,411,1968,"NEW YORK CITY HOUSING","Rental","","Not Affordable",1971
101505,"SCOTT TOWERS",-73.88883459,40.87754498,"BBL 2-03251-0420;HPD Property C2085","3400-10 Paul Avenue;SCOTT TOWERS",5318730,"3400 PAUL AVENUE",1,NA,"Bronx","BX07: Kingsbridge Heights/Bedford",11,"Bronx 409",1,352,1967,"SCOTT TOWER HOUSING C","Coop","","Affordable",1967
101511,"SECOND YELLOWBIRD",-73.9828386,40.72152968,"BBL 1-00384-0015","SECOND YELLOWBIRD",217324,"221 EAST 2 STREET",0,NA,"Manhattan","MN03: Lower East Side/Chinatown",2,"Manhattan 22.02",1,10,1900,"NAZA REALTY CORP","Rental","","Not Affordable",1970
101527,"SHORE TERRACE APTS",-73.9156633,40.78265842,"BBL 4-00892-0027","SHORE TERRACE APTS",1884600,"20-08 21 AVENUE",0,NA,"Queens","QN01: Astoria",22,"Queens 103",1,168,1950,"ASTORIA TERRACE GARDE","Rental","","Not Affordable",1982
101534,"SKYVIEW TOWERS",-73.90690952,40.73939459,"BBL 4-02319-0010;HPD Property C4027","SKYVIEW TOWERS",3294000,"47-30 59 STREET",0,NA,"Queens","QN02: Woodside/Sunnyside",26,"Queens 245",1,233,1970,"SKY VIEW TOWERS HOLDI","Rental","","Not Affordable",1970
101553,"ST MARTINS TOWERS",-73.96969778,40.78920402,"BBL 1-01204-0001;HPD Property C1085","65 W 90th Street;ST MARTINS TOWERS;ST. MARTIN'S TOWERS",7956000,"65 WEST 90 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",1,180,1970,"ST MARTINS HOUSING CO","Coop","","Affordable",1971
101556,"STEVENSON TOWERS",-73.86186934,40.87413989,"BBL 2-04633-0001;HPD Property C2089;HUD Property 800015901","STEVENSON TOWERS",1583423,"830 MAGENTA STREET",5,NA,"Bronx","BX12: Williamsbridge/Baychester",12,"Bronx 372",1,122,1973,"STEVENSON TOWERS REAL","Rental","","Affordable",1974
101559,"STRYCKERS BAY",-73.96811522,40.79090258,"BBL 1-01207-0001;HPD Property C1087","66 West 94th Street;689 Columbus Avenue;STRYCKER'S BAY;STRYCKERS BAY",22086000,"66 WEST 94 STREET;681 COLUMBUS AVENUE",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",2,234,1965,"STRYCKER'S BAY APTS I","Coop","","Affordable",1967
101560,"STUYVESANT MANOR",-73.93435809,40.67904255,"BBL 3-01700-0062","STUYVESANT MANOR",499140,"575 HERKIMER STREET",2,NA,"Brooklyn","BK03: Bedford Stuyvesant",36,"Brooklyn 271.02",1,36,1965,"2 STUYVESANT MANOR IN","Rental","","Not Affordable",1966
101561,"SULUBAR IMPERIAL APARTME",-73.9776091,40.78138061,"BBL 1-01149-0018","SULUBAR IMPERIAL APARTME",364575,"135 WEST 77 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 161",1,7,1900,"LOWENTHAL-PRUZAN, LIS","Rental","","Not Affordable",1967
101564,"SUNSET PARK NSA GROUP 1",-74.00570474,40.65024925,"BBL 3-00719-0037","SUNSET PARK NSA GROUP 1",340740,"472 41 STREET",0,NA,"Brooklyn","BK07: Sunset Park",38,"Brooklyn 82",1,187,1907,"MASAYA HOUSING DEVELO","Rental","","Not Affordable",1984
101573,"THE MOHAWK",-73.96512869,40.68735342,"BBL 3-01946-0004","THE MOHAWK",3131100,"377 WASHINGTON AVENUE",0,NA,"Brooklyn","BK02: Fort Greene/Brooklyn Heights",35,"Brooklyn 197",1,86,1905,"MOHAWK HOUSING ASSOC","Rental","","Not Affordable",1987
101574,"THE RITZ",-73.98608805,40.76089251,"BBL 1-01020-0005","THE RITZ",45586000,"227 WEST 48 STREET",0,NA,"Manhattan","MN05: Midtown",3,"Manhattan 125",1,479,1989,"CS RITZ RESIDENCES LL","Rental","","Not Affordable",1990
101576,"THE WELLESLEY",-73.9604214,40.7693074,"BBL 1-01426-0044","THE WELLESLEY",39960000,"200 EAST 72 STREET",0,NA,"Manhattan","MN08: Upper East Side",4,"Manhattan 126",1,433,1979,"AMTO REALTY, INC.,","Rental","","Not Affordable",1980
101580,"TIVOLI TOWERS",-73.95978604,40.6676113,"BBL 3-01189-0060;HPD Property C3069;HUD Property 800015961","49-57 Crown Street;TIVOLI TOWERS",3426300,"43 CROWN STREET",9,NA,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 213",1,321,1973,"TIVOLI BI LLP","Rental","","Affordable",1974
101582,"TOWER 54 AKA THE ENCORE",-73.98493932,40.76460599,"BBL 1-01044-0029","TOWER 54 AKA THE ENCORE",23688000,"301 WEST 53 STREET",0,NA,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 133",1,264,1979,"WB WEST 53RD STREET O","Rental","","Not Affordable",1981
101587,"TOWN HOUSE WEST",-73.96763945,40.78898937,"BBL 1-01205-0022;HPD Property C1095;HUD Property 800015966","TOWN HOUSE WEST",1161000,"5 WEST 91 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",1,48,1972,"GAIA BY THE PARK LLC","Rental","","Affordable",1973
101592,"TRI-FAITH HOUSE",-73.9493327,40.77638722,"BBL 1-01565-0001;HPD Property C1097","1646 First Avenue;TRI FAITH APARTMENTS;TRI-FAITH HOUSE",8689000,"1638 FIRST AVENUE",0,NA,"Manhattan","MN08: Upper East Side",5,"Manhattan 144.01",1,148,1968,"TRI-FAITH HOUSING CP","Coop","","Affordable",1968
101595,"TRINITY HOUSE",-73.97001153,40.79014829,"BBL 1-01222-0029;HPD Property C1099","100 West 92nd Street;TRINITY HOUSE",7092000,"100 WEST 92 STREET",0,NA,"Manhattan","MN07: Upper West Side",6,"Manhattan 177",1,200,1969,"TRINITY HOUSING CO IN","Rental","","Affordable",1969
101599,"UNION GDNS II",-73.93360502,40.66773366,"BBL 3-01402-0012","UNION GDNS II",187920,"1685 UNION STREET",17,NA,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",41,"Brooklyn 351",1,119,1916,"CY EMPIRE CORP","Rental","","Not Affordable",1983
